Entry,YEAR,COMPLEX,MEADOW,DATE,WATCH,OBSERVER,PLOT,STATUS,SPP_CODE,SPP_NAME,NO_STALK,NO_FLW,TOT_FLW,OLD_TOT_FLW
3009,2012,Frissel,RP1,7/17/2014,2,Linnet,9,FLW,COLLPARV,Collinsia parviflora,3,2,6,4
31,2013,Carpenter,CPB,6/28/2013,1,Vera,9,FLW,COLLPARV,Collinsia parviflora,6,1,6,45
674,2013,Carpenter,CPR,7/8/2013,2,Scott,9,FLW,COLLPARV,Collinsia parviflora,3,2,6,7
1658,2013,Lookout,LS,7/2/2013,1,Scott,1,FLW,COLLPARV,Collinsia parviflora,2,3,6,9
2600,2013,Frissel,RP1,7/4/2013,1,Scott,4,FLW,COLLPARV,Collinsia parviflora,3,2,6,970
697,2014,Lookout,LS,7/18/2014,3,IP,8,FLW,COLLPARV,Collinsia parviflora,6,1,6,14
1284,2012,Carpenter,CPM,7/2/2014,1,Jeremiah,1,FLW,COLLPARV,Collinsia parviflora,4,1.7,6.8,35.7
2922,2012,Frissel,RP1,7/9/2014,1,Andy/Brian,8,FLW,COLLPARV,Collinsia parviflora,4,1.7,6.8,1
1665,2013,Lookout,LS,7/2/2013,1,Scott,2,FLW,COLLPARV,Collinsia parviflora,2,3.5,7,3
2166,2013,Frissel,M2,7/17/2013,3,Scott,6,FLW,COLLPARV,Collinsia parviflora,2,3.5,7,21
2875,2013,Frissel,RP2,7/4/2013,1,Noelle,7,FLW,COLLPARV,Collinsia parviflora,7,1,7,99
685,2014,Carpenter,CPR,7/4/2014,1,JL,3,FLW,COLLPARV,Collinsia parviflora,7,1,7,5.000000001
3119,2011,Frissel,M2,7/26/2011,2,"Andy, Tim",10,FLW,COLLPARV,Collinsia parviflora,3,2.5,7.5,144.3
2981,2011,Frissel,M2,7/14/2011,1,"Sam, Andy",3,FLW,COLLPARV,Collinsia parviflora,6,1.3,7.8,57.5
1002,2011,Cone,CNM,8/12/2011,4,Andy,3,FLW,COLLPARV,Collinsia parviflora,8,1,8,8
1956,2011,Carpenter,CPR,7/26/2011,2,Alina,4,FLW,COLLPARV,Collinsia parviflora,8,1,8,8
3056,2011,Frissel,M2,7/26/2011,2,"Tim, Andy",4,FLW,COLLPARV,Collinsia parviflora,8,1,8,75.9
2049,2012,Lookout,LO,7/8/2014,1,Vera,2,FLW,COLLPARV,Collinsia parviflora,4,2,8,2
13,2013,Carpenter,CPB,6/28/2013,1,Fabian,4,FLW,COLLPARV,Collinsia parviflora,8,1,8,81
2021,2013,Frissel,M2,7/3/2013,1,Noelle,7,FLW,COLLPARV,Collinsia parviflora,8,1,8,177
2125,2013,Frissel,M2,7/11/2013,2,Kyra,10,FLW,COLLPARV,Collinsia parviflora,8,1,8,32
2986,2011,Frissel,M2,7/14/2011,1,"Sam, Andy",4,FLW,COLLPARV,Collinsia parviflora,6,1.4,8.4,52.2
2354,2011,Lookout,LM,8/4/2011,3,Tim,4,FLW,COLLPARV,Collinsia parviflora,5,1.7,8.5,2
2522,2011,Lookout,LM,8/4/2011,3,Alina,9,FLW,COLLPARV,Collinsia parviflora,6,1.5,9,88
2594,2012,Frissel,M2,7/17/2014,2,Andy,4,FLW,COLLPARV,Collinsia parviflora,3,3,9,250.8
1976,2013,Frissel,M2,7/3/2013,1,Kyra,2,FLW,COLLPARV,Collinsia parviflora,9,1,9,1
702,2014,Frissel,M2,7/8/2014,1,IP,2,FLW,COLLPARV,Collinsia parviflora,3,3,9,60
1343,2012,Carpenter,CPM,7/12/2014,2,Linnet,6,FLW,COLLPARV,Collinsia parviflora,7,1.3,9.1,232.5
698,2014,Lookout,LS,7/11/2014,2,JL,9,FLW,COLLPARV,Collinsia parviflora,6,1.6,9.6,3000
2270,2012,Lookout,LS,7/10/2014,1,Linnet,5,FLW,COLLPARV,Collinsia parviflora,3,3.3,9.9,140
1921,2011,Carpenter,CPR,7/13/2011,1,"Moldenke (3, 5, 7, 10)",7,FLW,COLLPARV,Collinsia parviflora,10,1,10,10
2274,2011,Lookout,LM,7/19/2011,1,Tiffany,4,FLW,COLLPARV,Collinsia parviflora,10,1,10,18
2530,2012,Frissel,M2,7/11/2014,1,Vera,5,FLW,COLLPARV,Collinsia parviflora,5,2,10,72
2686,2012,Frissel,M2,8/2/2014,3,Andy,1,FLW,COLLPARV,Collinsia parviflora,5,2,10,20
773,2013,Carpenter,CPS,7/1/2013,1,Fabian,10,FLW,COLLPARV,Collinsia parviflora,10,1,10,20
1830,2013,Lookout,LS,7/15/2013,3,Kyra,8,FLW,COLLPARV,Collinsia parviflora,10,1,10,9
2159,2013,Frissel,M2,7/17/2013,3,Kyra,5,FLW,COLLPARV,Collinsia parviflora,10,1,10,123
2673,2013,Frissel,RP1,7/11/2013,2,Noelle,5,FLW,COLLPARV,Collinsia parviflora,10,1,10,5
679,2014,Carpenter,CPM,7/2/2014,1,LKB,4,FLW,COLLPARV,Collinsia parviflora,4,2.5,10,39.6
696,2014,Lookout,LS,7/11/2014,2,KH,8,FLW,COLLPARV,Collinsia parviflora,10,1,10,30
699,2014,Lookout,LS,7/18/2014,3,IP,9,FLW,COLLPARV,Collinsia parviflora,10,1,10,2775
705,2014,Frissel,NE,7/8/2014,1,IP,4,FLW,COLLPARV,Collinsia parviflora,5,2,10,9
709,2014,Frissel,RP1,7/9/2014,1,DY,9,FLW,COLLPARV,Collinsia parviflora,5,2,10,192
3070,2011,Frissel,M2,7/26/2011,2,"Tim, Andy",5,FLW,COLLPARV,Collinsia parviflora,7,1.5,10.5,205.2
1124,2012,Carpenter,CPB,7/12/2014,2,Vera,7,FLW,COLLPARV,Collinsia parviflora,7,1.5,10.5,621.6
2082,2012,Lookout,LO,7/8/2014,1,Vera,9,FLW,COLLPARV,Collinsia parviflora,7,1.5,10.5,153
1087,2011,Cone,CNT,7/15/2011,0.5,"Andy, Tim, Alina",2,FLW,COLLPARV,Collinsia parviflora,9,1.2,10.8,10.8
691,2014,Lookout,LM,7/1/2014,1,IP,5,FLW,COLLPARV,Collinsia parviflora,9,1.2,10.8,30
1479,2011,Carpenter,CPB,8/2/2011,3,Alina,9,FLW,COLLPARV,Collinsia parviflora,11,1,11,11
1998,2013,Frissel,M2,7/3/2013,1,Kyra,4,FLW,COLLPARV,Collinsia parviflora,11,1,11,388
1156,2011,Cone,CNT,7/22/2011,1,Andy and Tim,5,FLW,COLLPARV,Collinsia parviflora,8,1.5,12,12
1472,2011,Carpenter,CPB,8/2/2011,3,Alina,8,FLW,COLLPARV,Collinsia parviflora,12,1,12,12
1741,2011,Carpenter,CPM,8/2/2011,3,Vera,9,FLW,COLLPARV,Collinsia parviflora,12,1,12,12
1932,2011,Carpenter,CPR,7/26/2011,2,Alina,1,FLW,COLLPARV,Collinsia parviflora,12,1,12,12
1961,2011,Carpenter,CPR,7/26/2011,2,Alina,6,FLW,COLLPARV,Collinsia parviflora,12,1,12,12
3170,2011,Frissel,M2,8/3/2011,3,Andy,4,FLW,COLLPARV,Collinsia parviflora,8,1.5,12,7
1301,2012,Carpenter,CPM,7/2/2014,1,Jeremiah,10,FLW,COLLPARV,Collinsia parviflora,8,1.5,12,169
2648,2012,Frissel,M2,7/17/2014,2,Andy,8,FLW,COLLPARV,Collinsia parviflora,10,1.2,12,27
254,2013,Carpenter,CPM,7/1/2013,1,Scott,5,FLW,COLLPARV,Collinsia parviflora,8,1.5,12,6
444,2013,Carpenter ,CPM,7/16/2013,3,Noelle,10,FLW,COLLPARV,Collinsia parviflora,12,1,12,8
1697,2013,Lookout,LS,7/2/2013,1,Fabian,6,FLW,COLLPARV,Collinsia parviflora,12,1,12,9
2480,2013,Frissel,NE,7/17/2013,3,Scott,8,FLW,COLLPARV,Collinsia parviflora,4,3,12,269.5
2638,2013,Frissel,RP1,7/4/2013,1,Fabian,10,FLW,COLLPARV,Collinsia parviflora,12,1,12,497
678,2014,Carpenter,CPM,7/2/2014,1,RD,1,FLW,COLLPARV,Collinsia parviflora,12,1,12,60
704,2014,Frissel,NE,7/8/2014,1,JL,3,FLW,COLLPARV,Collinsia parviflora,8,1.5,12,3
2686,2011,Lookout,LO,7/21/2011,1,Tim,2,FLW,COLLPARV,Collinsia parviflora,8,1.6,12.8,112.2
1636,2011,Carpenter,CPM,7/13/2011,1,Tiff,9,FLW,COLLPARV,Collinsia parviflora,13,1,13,13
1404,2011,Carpenter,CPB,7/22/2011,2,Sam,6,FLW,COLLPARV,Collinsia parviflora,11,1.2,13.2,13.2
2078,2012,Lookout,LO,7/8/2014,1,Vera,8,FLW,COLLPARV,Collinsia parviflora,11,1.2,13.2,4
2539,2012,Frissel,M2,7/9/2014,1,Jeremiah,6,FLW,COLLPARV,Collinsia parviflora,9,1.5,13.5,172.8
706,2014,Frissel,NE,7/8/2014,1,JL,8,FLW,COLLPARV,Collinsia parviflora,9,1.5,13.5,112.5
693,2014,Lookout,LS,7/11/2014,2,DY,5,FLW,COLLPARV,Collinsia parviflora,4,3.5,14,80
765,2011,Cone,CNM,7/15/2011,0.5,Andy,8,FLW,COLLPARV,Collinsia parviflora,12,1.2,14.4,14.4
669,2013,Carpenter,CPR,7/8/2013,2,Scott,8,FLW,COLLPARV,Collinsia parviflora,15,1,15,45
2882,2013,Frissel,RP2,7/4/2013,1,Noelle,8,FLW,COLLPARV,Collinsia parviflora,15,1,15,98
695,2014,Lookout ,LS,7/8/2014,1,RM,8,FLW,COLLPARV,Collinsia parviflora,15,1,15,20
1908,2011,Carpenter,CPR,7/13/2011,1,"Moldenke (3, 5, 7, 10)",2,FLW,COLLPARV,Collinsia parviflora,16,1,16,16
1941,2011,Carpenter,CPR,7/26/2011,2,Alina,2,FLW,COLLPARV,Collinsia parviflora,16,1,16,16
3671,2011,Frissel,RP2,7/14/2011,1,Alina and Tiffany,4,FLW,COLLPARV,Collinsia parviflora,8,2,16,36
2662,2012,Frissel,M2,7/17/2014,2,Andy,9,FLW,COLLPARV,Collinsia parviflora,8,2,16,151.9
1378,2013,Lookout,LO,7/2/2013,1,Noelle,8,FLW,COLLPARV,Collinsia parviflora,16,1,16,1
2610,2013,Frissel,RP1,7/4/2013,1,Scott,5,FLW,COLLPARV,Collinsia parviflora,8,2,16,55
2268,2011,Lookout,LM,7/19/2011,1,Tim,3,FLW,COLLPARV,Collinsia parviflora,7,2.3,16.1,32.4
2282,2011,Lookout,LM,7/19/2011,1,Alina,5,FLW,COLLPARV,Collinsia parviflora,9,1.8,16.2,6
1744,2013,Lookout,LS,7/10/2013,2,Kyra,5,FLW,COLLPARV,Collinsia parviflora,17,1,17,21
1119,2012,Carpenter,CPB,7/12/2014,2,Vera,6,FLW,COLLPARV,Collinsia parviflora,7,2.5,17.5,85.8
1348,2012,Carpenter,CPM,7/12/2014,2,Vera,7,FLW,COLLPARV,Collinsia parviflora,7,2.5,17.5,107.3
1391,2011,Carpenter,CPB,7/22/2011,2,Sam,3,FLW,COLLPARV,Collinsia parviflora,12,1.5,18,18
2679,2011,Lookout,LO,7/21/2011,1,Alina,1,FLW,COLLPARV,Collinsia parviflora,18,1,18,48
770,2013,Carpenter,CPS,7/1/2013,1,Fabian,9,FLW,COLLPARV,Collinsia parviflora,18,1,18,23
1758,2013,Lookout,LS,7/10/2013,2,Fabian,7,FLW,COLLPARV,Collinsia parviflora,12,1.5,18,1
680,2014,Carpenter,CPM,7/2/2014,1,RD,6,FLW,COLLPARV,Collinsia parviflora,9,2,18,28.8
1368,2012,Carpenter,CPM,7/12/2014,2,Linnet,10,FLW,COLLPARV,Collinsia parviflora,17,1.1,18.7,260
1147,2011,Cone,CNT,7/22/2011,1,Andy and Tim,4,FLW,COLLPARV,Collinsia parviflora,5,4,20,20
2308,2011,Lookout,LM,7/19/2011,1,Tiffany,9,FLW,COLLPARV,Collinsia parviflora,20,1,20,100
2343,2011,Lookout,LM,7/27/2011,2,Alina,3,FLW,COLLPARV,Collinsia parviflora,20,1,20,6
2727,2011,Lookout,LO,7/21/2011,1,Tiffany,10,FLW,COLLPARV,Collinsia parviflora,20,1,20,200
2286,2012,Lookout,LS,7/10/2014,1,Vera,7,FLW,COLLPARV,Collinsia parviflora,8,2.5,20,2
2439,2013,Frissel,NE,7/11/2013,2,Kyra,8,FLW,COLLPARV,Collinsia parviflora,20,1,20,10
683,2014,Carpenter,CPM,7/10/2014,2,DY,7,FLW,COLLPARV,Collinsia parviflora,10,2,20,14
694,2014,Lookout ,LS,7/8/2014,1,RM,6,FLW,COLLPARV,Collinsia parviflora,20,1,20,55
1629,2011,Carpenter,CPM,7/13/2011,1,Alina,6,FLW,COLLPARV,Collinsia parviflora,21,1,21,21
2521,2012,Frissel,M2,7/11/2014,1,Vera,4,FLW,COLLPARV,Collinsia parviflora,6,3.5,21,336
623,2013,Carpenter,CPR,7/1/2013,1,Scott,7,FLW,COLLPARV,Collinsia parviflora,14,1.5,21,508
1390,2013,Lookout,LO,7/2/2013,1,Noelle,10,FLW,COLLPARV,Collinsia parviflora,23,1,23,2
829,2011,Cone,CNM,7/22/2011,1,Andy and Tim,8,FLW,COLLPARV,Collinsia parviflora,18,1.3,23.4,23.4
607,2011,Cone,CNE,8/5/2011,3,Alina,9,FLW,COLLPARV,Collinsia parviflora,19,1.3,24.7,24.7
1656,2011,Carpenter,CPM,7/22/2011,2,Vera,6,FLW,COLLPARV,Collinsia parviflora,19,1.3,24.7,24.7
2950,2013,Frissel,RP2,7/11/2013,2,Scott,10,FLW,COLLPARV,Collinsia parviflora,10,2.5,25,87.5
7,2013,Carpenter,CPB,6/28/2013,1,Fabian,2,FLW,COLLPARV,Collinsia parviflora,26,1,26,94.5
22,2013,Carpenter,CPB,6/28/2013,1,Fabian,7,FLW,COLLPARV,Collinsia parviflora,26,1,26,15
1134,2011,Cone,CNT,7/22/2011,1,Alina,2,FLW,COLLPARV,Collinsia parviflora,22,1.2,26.4,26.4
1346,2013,Lookout,LO,7/2/2013,1,Kyra,4,FLW,COLLPARV,Collinsia parviflora,27,1,27,88
2474,2013,Frissel,NE,7/17/2013,3,Fabian,7,FLW,COLLPARV,Collinsia parviflora,27,1,27,49.5
3090,2011,Frissel,M2,7/26/2011,2,"Andy, Tim",7,FLW,COLLPARV,Collinsia parviflora,22,1.25,27.5,6
635,2013,Carpenter,CPR,7/1/2013,1,Scott,9,FLW,COLLPARV,Collinsia parviflora,28,1,28,28
2892,2013,Frissel,RP2,7/4/2013,1,Noelle,10,FLW,COLLPARV,Collinsia parviflora,28,1,28,120
1926,2011,Carpenter,CPR,7/13/2011,1,"Moldenke (3, 5, 7, 10)",8,FLW,COLLPARV,Collinsia parviflora,30,1,30,30
2013,2011,Carpenter,CPR,8/2/2011,3,Tiffany,8,FLW,COLLPARV,Collinsia parviflora,30,1,30,30
2361,2011,Lookout,LM,7/27/2011,2,Alina,5,FLW,COLLPARV,Collinsia parviflora,30,1,30,8
941,2012,Cone,CNT,7/11/2014,1,Vera,8,FLW,COLLPARV,Collinsia parviflora,12,2.5,30,211.5
1838,2013,Lookout,LS,7/15/2013,3,Kyra,9,FLW,COLLPARV,Collinsia parviflora,30,1,30,50
2377,2013,Frissel,NE,7/3/2013,1,ALR,2,FLW,COLLPARV,Collinsia parviflora,10,3,30,31.5
684,2014,Carpenter,CPM,7/2/2014,1,RM,10,FLW,COLLPARV,Collinsia parviflora,10,3,30,69.6
1410,2011,Carpenter,CPB,7/22/2011,2,Sam,7,FLW,COLLPARV,Collinsia parviflora,28,1.1,30.8,30.8
692,2014,Lookout,LO,7/11/2014,2,LKB,1,FLW,COLLPARV,Collinsia parviflora,20,1.56,31.2,110
3033,2011,Frissel,M2,7/26/2011,2,"Tim, Andy",2,FLW,COLLPARV,Collinsia parviflora,11,2.9,31.9,78
1558,2012,Carpenter,CPR,7/2/2014,1,Vera,9,FLW,COLLPARV,Collinsia parviflora,23,1.4,32.2,10.8
2618,2012,Frissel,M2,7/17/2014,2,Andy,6,FLW,COLLPARV,Collinsia parviflora,11,3,33,2
2047,2013,Frissel,M2,7/3/2013,1,Noelle,10,FLW,COLLPARV,Collinsia parviflora,34,1,34,95
1372,2011,Carpenter,CPB,7/13/2011,1,Vera,8,FLW,COLLPARV,Collinsia parviflora,29,1.2,34.8,34.8
2936,2013,Frissel,RP2,7/11/2013,2,Scott,8,FLW,COLLPARV,Collinsia parviflora,7,5,35,7.5
1717,2013,Lookout,LS,7/2/2013,1,Fabian,9,FLW,COLLPARV,Collinsia parviflora,24,1.5,36,252
3133,2012,Frissel,RP2,7/17/2014,2,Linnet,6,FLW,COLLPARV,Collinsia parviflora,30,1.3,39,1680
1772,2013,Lookout,LS,7/10/2013,2,ALR,9,FLW,COLLPARV,Collinsia parviflora,26,1.5,39,82
2618,2013,Frissel,RP1,7/4/2013,1,Fabian,6,FLW,COLLPARV,Collinsia parviflora,39,1,39,98
2633,2013,Frissel,RP1,7/4/2013,1,Fabian,9,FLW,COLLPARV,Collinsia parviflora,13,3,39,5
2432,2013,Frissel,NE,7/11/2013,2,Kyra,7,FLW,COLLPARV,Collinsia parviflora,40,1,40,5
992,2013,Lookout,LM,7/3/2013,1,Fabian,3,FLW,COLLPARV,Collinsia parviflora,12,3.5,42,104
406,2013,Carpenter,CPM,7/16/2013,3,Fabian,4,FLW,COLLPARV,Collinsia parviflora,22,2,44,75
1536,2012,Carpenter,CPR,7/2/2014,1,Vera,1,FLW,COLLPARV,Collinsia parviflora,18,2.5,45,45
334,2013,Carpenter,CPM,7/8/2013,2,Noelle,4,FLW,COLLPARV,Collinsia parviflora,45,1,45,14
2400,2013,Frissel,NE,7/3/2013,1,Fabian,7,FLW,COLLPARV,Collinsia parviflora,30,1.5,45,95
682,2014,Carpenter,CPM,7/2/2014,1,LKB,7,FLW,COLLPARV,Collinsia parviflora,25,1.8,45,92.4
3007,2011,Frissel,M2,7/14/2011,1,"Sam, Andy",8,FLW,COLLPARV,Collinsia parviflora,26,1.8,46.8,164.7
1399,2011,Carpenter,CPB,7/22/2011,2,Tiffany,5,FLW,COLLPARV,Collinsia parviflora,50,1,50,50
1963,2013,Frissel,M2,7/3/2013,1,Kyra,1,FLW,COLLPARV,Collinsia parviflora,50,1,50,1
550,2011,Cone,CNE,7/28/2011,2,Alina,9,FLW,COLLPARV,Collinsia parviflora,40,1.3,52,52
2710,2011,Lookout,LO,7/21/2011,1,Tiffany,7,FLW,COLLPARV,Collinsia parviflora,52,1,52,2
1880,2012,Lookout,LM,7/25/2014,2,Mark,3,FLW,COLLPARV,Collinsia parviflora,26,2,52,280
703,2014,Frissel,M2,7/9/2014,1,RD,10,FLW,COLLPARV,Collinsia parviflora,13,4,52,92
2405,2011,Lookout,LM,7/27/2011,2,Alina,9,FLW,COLLPARV,Collinsia parviflora,36,1.5,54,2
1,2013,Carpenter,CPB,6/28/2013,1,Fabian,1,FLW,COLLPARV,Collinsia parviflora,54,1,54,1
1750,2013,Lookout,LS,7/10/2013,2,Fabian,6,FLW,COLLPARV,Collinsia parviflora,18,3,54,396
1362,2011,Carpenter,CPB,7/13/2011,1,Vera,3,FLW,COLLPARV,Collinsia parviflora,48,1.2,57.6,57.6
687,2014,Carpenter,CPR,7/10/2014,2,RM,8,FLW,COLLPARV,Collinsia parviflora,60,1,60,44
381,2013,Carpenter,CPM,7/8/2013,2,Scott,10,FLW,COLLPARV,Collinsia parviflora,31,2,62,42
1824,2013,Lookout,LS,7/15/2013,3,Fabian,7,FLW,COLLPARV,Collinsia parviflora,15,4.5,67.5,49
2560,2012,Frissel,M2,7/17/2014,2,Andy,1,FLW,COLLPARV,Collinsia parviflora,17,4,68,205.2
686,2014,Carpenter,CPR,7/4/2014,1,RM,8,FLW,COLLPARV,Collinsia parviflora,70,1,70,14.4
1369,2011,Carpenter,CPB,7/13/2011,1,Alina,7,FLW,COLLPARV,Collinsia parviflora,44,1.6,70.4,70.4
1973,2011,Carpenter,CPR,7/26/2011,2,Alina,8,FLW,COLLPARV,Collinsia parviflora,64,1.1,70.4,70.4
3666,2011,Frissel,RP2,7/14/2011,1,Alina and Tiffany,3,FLW,COLLPARV,Collinsia parviflora,72,1,72,40
1359,2013,Lookout,LO,7/2/2013,1,Noelle,6,FLW,COLLPARV,Collinsia parviflora,73,1,73,10
498,2011,Cone,CNE,7/22/2011,1,Sam,7,FLW,COLLPARV,Collinsia parviflora,50,1.5,75,75
2294,2012,Lookout,LS,7/10/2014,1,Vera,8,FLW,COLLPARV,Collinsia parviflora,23,3.3,75.9,4
1765,2013,Lookout,LS,7/10/2013,2,Fabian,8,FLW,COLLPARV,Collinsia parviflora,38,2,76,3
3004,2011,Frissel,M2,7/14/2011,1,"Sam, Andy",7,FLW,COLLPARV,Collinsia parviflora,51,1.5,76.5,330.2
979,2013,Lookout,LM,7/3/2013,1,Fabian,1,FLW,COLLPARV,Collinsia parviflora,17,4.5,76.5,1
343,2013,Carpenter,CPM,7/8/2013,2,Noelle,5,FLW,COLLPARV,Collinsia parviflora,78,1,78,11
1988,2013,Frissel,M2,7/3/2013,1,Kyra,3,FLW,COLLPARV,Collinsia parviflora,79,1,79,42
1904,2011,Carpenter,CPR,7/13/2011,1,"Moldenke (3, 5, 7, 10)",1,FLW,COLLPARV,Collinsia parviflora,40,2,80,80
2015,2013,Frissel,M2,7/3/2013,1,Noelle,6,FLW,COLLPARV,Collinsia parviflora,80,1,80,299
1619,2011,Carpenter,CPM,7/13/2011,1,"Andy, Sam",1,FLW,COLLPARV,Collinsia parviflora,64,1.3,83.2,83.2
1402,2013,Lookout,LO,7/10/2013,2,Noelle,1,FLW,COLLPARV,Collinsia parviflora,85,1,85,8
2061,2012,Lookout,LO,7/8/2014,1,Vera,5,FLW,COLLPARV,Collinsia parviflora,58,1.5,87,12.6
629,2013,Carpenter,CPR,7/1/2013,1,Scott,8,FLW,COLLPARV,Collinsia parviflora,58,1.5,87,188
410,2013,Carpenter,CPM,7/16/2013,3,Fabian,5,FLW,COLLPARV,Collinsia parviflora,22,4,88,9
1642,2011,Carpenter,CPM,7/22/2011,2,Vera,1,FLW,COLLPARV,Collinsia parviflora,59,1.5,88.5,88.5
950,2012,Cone,CNT,7/10/2014,1,Mark,10,FLW,COLLPARV,Collinsia parviflora,45,2,90,99
2081,2013,Frissel,M2,7/11/2013,2,Fabian,5,FLW,COLLPARV,Collinsia parviflora,37,2.5,92.5,63
297,2013,Carpenter,CPM,7/1/2013,1,Noelle,10,FLW,COLLPARV,Collinsia parviflora,96,1,96,93
18,2013,Carpenter,CPB,6/28/2013,1,Fabian,6,FLW,COLLPARV,Collinsia parviflora,106,1,106,87.5
397,2013,Carpenter,CPM,7/16/2013,3,Fabian,2,FLW,COLLPARV,Collinsia parviflora,56,2,112,1
3014,2011,Frissel,M2,7/14/2011,1,"Sam, Andy",9,FLW,COLLPARV,Collinsia parviflora,50,2.3,115,21
2869,2012,Frissel,RP1,7/9/2014,1,Andy/Brian,2,FLW,COLLPARV,Collinsia parviflora,42,2.8,117.6,8.4
1605,2012,Carpenter,CPR,7/12/2014,2,Carolyn,8,FLW,COLLPARV,Collinsia parviflora,70,1.7,119,16
2403,2013,Frissel,NE,7/3/2013,1,Fabian,8,FLW,COLLPARV,Collinsia parviflora,73,2,146,1872
351,2013,Carpenter,CPM,7/8/2013,2,Scott,6,FLW,COLLPARV,Collinsia parviflora,59,2.5,147.5,30
1670,2011,Carpenter,CPM,7/22/2011,2,Vera,9,FLW,COLLPARV,Collinsia parviflora,106,1.5,159,159
707,2014,Frissel,NE,7/8/2014,1,IP,9,FLW,COLLPARV,Collinsia parviflora,11,15,165,6
1705,2013,Lookout,LS,7/2/2013,1,Fabian,7,FLW,COLLPARV,Collinsia parviflora,42,4,168,688.5
701,2014,Frissel,M2,7/8/2014,1,JL,1,FLW,COLLPARV,Collinsia parviflora,23,7.6,174.8,65
2006,2013,Frissel,M2,7/3/2013,1,Kyra,5,FLW,COLLPARV,Collinsia parviflora,197,1,197,78
2090,2013,Frissel,M2,7/11/2013,2,ALR,6,FLW,COLLPARV,Collinsia parviflora,70,3,210,84
264,2013,Carpenter,CPM,7/1/2013,1,Noelle,6,FLW,COLLPARV,Collinsia parviflora,238,1,238,64
908,2012,Cone,CNT,7/10/2014,1,Carolyn,2,FLW,COLLPARV,Collinsia parviflora,80,3,240,180
1352,2011,Carpenter,CPB,7/13/2011,1,Alina,1,FLW,COLLPARV,Collinsia parviflora,42,6,252,252
1331,2013,Lookout,LO,7/2/2013,1,Kyra,1,FLW,COLLPARV,Collinsia parviflora,141,2.5,352.5,2
1711,2013,Lookout,LS,7/2/2013,1,Fabian,8,FLW,COLLPARV,Collinsia parviflora,46,31,1426,2
752,2011,Cone,CNM,7/15/2011,0.5,Andy,6,FLW,COLLPARV,Collinsia parviflora,1350,2,2700,2700
2091,2011,Carpenter,CPS,7/13/2011,1,"Andy 1,2,3,4,10",4,FLW,COMAUMBE,Comandra umbellata,1,1,1,69.75
18,2012,Bunchgrass,BD,6/29/2014,1,Mark,7,FLW,COMAUMBE,Comandra umbellata,4,1,4,11.2
2861,2012,Frissel,RP1,7/9/2014,1,Andy/Brian,1,FLW,COMAUMBE,Comandra umbellata,1,4,4,1
248,2011,Bunchgrass,BH,7/28/2011,2,"Andy, Tim",10,FLW,COMAUMBE,Comandra umbellata,1,5,5,5
24,2011,Bunchgrass,BD,7/25/2011,2,Andy,4,FLW,COMAUMBE,Comandra umbellata,2,3.5,7,7
2112,2011,Carpenter,CPS,7/13/2011,1,"Andy 1,2,3,4,10",9,FLW,COMAUMBE,Comandra umbellata,1,7,7,1
1659,2012,Carpenter,CPS,7/2/2014,1,Linnet,4,FLW,COMAUMBE,Comandra umbellata,3,3.3,9.9,12
163,2011,Bunchgrass,BH,7/20/2011,1,"Tim, Andy",4,FLW,COMAUMBE,Comandra umbellata,4,3,12,12
56,2012,Bunchgrass,BD,7/12/2014,2,Brian/Andy,6,FLW,COMAUMBE,Comandra umbellata,1,12,12,5
1669,2012,Carpenter,CPS,7/2/2014,1,Unknown,10,FLW,COMAUMBE,Comandra umbellata,4,3,12,112
2074,2011,Carpenter,CPS,7/13/2011,1,"Andy 1,2,3,4,10",1,FLW,COMAUMBE,Comandra umbellata,2,6.3,12.6,80.6
2117,2011,Carpenter,CPS,7/21/2011,2,Sam + Moldenke,1,FLW,COMAUMBE,Comandra umbellata,5,2.6,13,18.2
917,2012,Cone,CNT,7/10/2014,1,Carolyn,3,FLW,COMAUMBE,Comandra umbellata,4,4,16,3
237,2012,Bunchgrass,BH,7/5/2014,1,Jeremiah,7,FLW,COMAUMBE,Comandra umbellata,8,2.1,16.8,20
285,2012,Bunchgrass,BH,7/12/2014,2,Brian/Andy,7,FLW,COMAUMBE,Comandra umbellata,6,3,18,44
2530,2014,Lookout,LM,7/1/2014,1,IP,2,FLW,COMAUMBE,Comandra umbellata,3,7.666666667,23,141
205,2011,Bunchgrass,BH,7/28/2011,2,"Andy, Tim",2,FLW,COMAUMBE,Comandra umbellata,8,3,24,24
211,2011,Bunchgrass,BH,7/28/2011,2,"Andy, Tim",3,FLW,COMAUMBE,Comandra umbellata,8,3,24,24
2134,2011,Carpenter,CPS,7/21/2011,2,Sam + Moldenke,4,FLW,COMAUMBE,Comandra umbellata,18,2,36,81.9
264,2012,Bunchgrass,BH,7/12/2014,2,Brian/Andy,3,FLW,COMAUMBE,Comandra umbellata,8,5,40,85
1235,2011,Cone,CNT,8/5/2011,3,Andy,3,FLW,COMAUMBE,Comandra umbellata,8,5.2,41.6,41.6
1097,2011,Cone,CNT,7/15/2011,0.5,"Andy, Tim, Alina",3,FLW,COMAUMBE,Comandra umbellata,3,15,45,45
1157,2011,Cone,CNT,7/22/2011,1,Andy and Tim,5,FLW,COMAUMBE,Comandra umbellata,12,3.8,45.6,45.6
